,image,title,author,rating,review_count,product_link,publisher,publish_date,prices,rating_breakdown,ranking
0,https://m.media-amazon.com/images/I/71ok9jCkgVL._AC_UY218_.jpg,Lessons in Chemistry: A Novel,"Bonnie Garmus, Miranda Raison, et al.",4.6,"126,226",/Lessons-in-Chemistry-A-Novel/dp/B09BBK79VB/ref=sr_1_1?qid=1680261196&sr=8-1&srs=17296221011,Random House Audio,"April 5, 2022","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$17.99', 'Paperback': '$27.90', 'Spiral-bound': '$37.81'}","['1', '1', '6', '20', '72']","['#5 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Historical Fiction (Books)', '#1 in Historical Fiction (Audible Books & Originals)', '#1 in Humorous Fiction']"
1,https://m.media-amazon.com/images/I/91HwoNG6iqL._AC_UY218_.jpg,"Tomorrow, and Tomorrow, and Tomorrow: A novel","Gabrielle Zevin  | Jul 5, 2022",4.4,"38,021",/Tomorrow-novel-Gabrielle-Zevin-ebook/dp/B09JBCGQB8/ref=sr_1_2?qid=1680261196&sr=8-2&srs=17296221011,Knopf,"Jan 1, 1970","{'Kindle': '$13.99', 'Audiobook': '$0.00', 'Hardcover': '$15.49', 'Paperback': '$25.49'}","['1', '2', '10', '28', '59']",[]
2,https://m.media-amazon.com/images/I/91bS0lS-JUL._AC_UY218_.jpg,Demon Copperhead: A Novel,"Barbara Kingsolver, Charlie Thurston, et al.",4.6,"28,124",/Audible-Demon-Copperhead-A-Novel/dp/B09QH6C42C/ref=sr_1_3?qid=1680261196&sr=8-3&srs=17296221011,HarperAudio,"October 18, 2022","{'Kindle': '$15.99', 'Audiobook': '$0.00', 'Hardcover': '$19.50', 'Paperback': '$31.05', 'Audio': '$41.57'}","['1', '2', '5', '18', '74']","['#19 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Small Town & Rural Fiction (Audible Books & Originals)', '#1 in Coming of Age Fiction (Audible Books & Originals)', '#1 in Small Town & Rural Fiction (Books)']"
3,https://m.media-amazon.com/images/I/91jbLYiK43L._AC_UY218_.jpg,Remarkably Bright Creatures: A Novel,"Shel Van Pelt, Marin Ireland, et al.",4.6,"21,857",/Remarkably-Bright-Creatures-A-Novel/dp/B09DTGQHKJ/ref=sr_1_4?qid=1680261196&sr=8-4&srs=17296221011,HarperAudio,"May 3, 2022","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$18.05', 'Paperback': '$15.19', 'Audio': '$33.27'}","['1', '1', '5', '22', '71']","['#3 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Mysteries (Audible Books & Originals)', '#1 in Literary Fiction (Books)', '#1 in Animal Fiction (Audible Books & Originals)']"
4,https://m.media-amazon.com/images/I/617uZq23IPL._AC_UY218_.jpg,Reminders of Him: A Novel,"Colleen Hoover  | Jan 18, 2022",4.7,"207,191",/Reminders-Him-Novel-Colleen-Hoover/dp/1542025605/ref=sr_1_5?qid=1680261196&sr=8-5&srs=17296221011,,"Jan 1, 1970","{'Kindle': '$0.00', 'Audiobook': '$0.00', 'Library': '$37.78', 'Paperback': '$9.57', 'Audio': '$14.99'}","['1', '1', '4', '16', '78']",[]
5,https://m.media-amazon.com/images/I/91fas7WZMNL._AC_UY218_.jpg,Mad Honey: A Novel,"Jodi Picoult, Jennifer Finney Boylan, et al.",4.4,"22,581",/Audible-Mad-Honey-A-Novel/dp/B09QQV1YJJ/ref=sr_1_6?qid=1680261196&sr=8-6&srs=17296221011,Random House Audio,"October 4, 2022","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$17.99', 'Paperback': '$34.74', 'Audio': '$37.67'}","['2', '2', '8', '27', '60']","['#31 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#3 in Fiction Sagas', '#4 in Family Saga Fiction', ""#7 in Women's Fiction (Audible Books & Originals)""]"
6,https://m.media-amazon.com/images/I/81P0W3YcvXL._AC_UY218_.jpg,Horse: A Novel,"Geraldine Brooks  | Jun 14, 2022",4.6,"21,133",/Horse-Novel-Geraldine-Brooks-ebook/dp/B09G9D94VW/ref=sr_1_7?qid=1680261196&sr=8-7&srs=17296221011,Viking,"Jan 1, 1970","{'Kindle': '$13.99', 'Audiobook': '$0.00', 'Hardcover': '$22.99', 'Paperback': '$26.99'}","['2', '2', '5', '20', '71']",[]
7,https://m.media-amazon.com/images/I/71Dax2X6RhL._AC_UY218_.jpg,I'm Glad My Mom Died,Jennette McCurdy and Simon & Schuster Audio,4.7,"46,267",/Im-Glad-My-Mom-Died/dp/B09VHWC5YK/ref=sr_1_8?qid=1680261196&sr=8-8&srs=17296221011,Simon & Schuster Audio,"August 9, 2022","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$17.94', 'Paperback': '$28.97', 'Audio': '$30.32'}","['1', '1', '4', '15', '80']","['#18 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Dysfunctional Families (Audible Books & Originals)', '#1 in Dysfunctional Families (Books)', '#1 in Relationships (Audible Books & Originals)']"
8,https://m.media-amazon.com/images/I/91tQkOHvW9L._AC_UY218_.jpg,Fairy Tale,"Stephen King, Seth Numrich, et al.",4.6,"41,441",/Audible-Fairy-Tale/dp/B09R5ZPY6Y/ref=sr_1_9?qid=1680261196&sr=8-9&srs=17296221011,Simon & Schuster Audio,"September 6, 2022","{'Kindle': '$16.99', 'Audiobook': '$0.00', 'Hardcover': '$16.25', 'Paperback': '$18.00', 'Audio': '$61.52'}","['1', '2', '6', '18', '74']","['#25 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Supernatural Thrillers (Books)', '#1 in Supernatural Thrillers (Audible Books & Originals)', '#2 in Fantasy (Audible Books & Originals)']"
9,https://m.media-amazon.com/images/I/91lgm-V5fqL._AC_UY218_.jpg,"Lighter: Let Go of the Past, Connect with the Present, and Expand the Future","Yung Pueblo  | Oct 4, 2022",4.7,"1,330",/Lighter-Connect-Present-Expand-Future/dp/0593233174/ref=sr_1_10?qid=1680261196&sr=8-10&srs=17296221011,Harmony,"Jan 1, 1970","{'Kindle': '$13.99', 'Audiobook': '$0.00', 'Hardcover': '$15.88', 'Paperback': '$35.30', 'Spiral-bound': '$31.96'}","['2', '2', '4', '10', '82']",[]
10,https://m.media-amazon.com/images/I/914wvTbNAbL._AC_UY218_.jpg,Finding Me: A Memoir,Viola Davis and HarperAudio,4.8,"15,546",/Audible-Finding-Me-A-Memoir/dp/B09F56PHTF/ref=sr_1_11?qid=1680261196&sr=8-11&srs=17296221011,HarperAudio,"April 26, 2022","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$18.48', 'Paperback': '$13.48', 'Audio': '$33.27'}","['1', '1', '3', '9', '87']","['#47 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Self-Esteem (Audible Books & Originals)', ""#2 in Women's Biographies"", '#2 in Biographies of Women']"
11,https://m.media-amazon.com/images/I/81xQjuzayAL._AC_UY218_.jpg,Our Missing Hearts: A Novel,"Celeste Ng  | Oct 4, 2022",4.3,"12,135",/Our-Missing-Hearts-Celeste-Ng-ebook/dp/B09QBYCC3J/ref=sr_1_12?qid=1680261196&sr=8-12&srs=17296221011,Penguin Press,"Jan 1, 1970","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$15.19', 'Paperback': '$21.49', 'Audio': '$30.06'}","['2', '4', '13', '28', '53']",[]
12,https://m.media-amazon.com/images/I/81iRK9qPcML._AC_UY218_.jpg,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong and Random House Audio,4.7,"2,175",/Immense-World-Animal-Senses-Reveal/dp/B09LFLMXF2/ref=sr_1_13?qid=1680261196&sr=8-13&srs=17296221011,Random House Audio,"June 21, 2022","{'Kindle': '$13.99', 'Audiobook': '$0.00', 'Hardcover': '$24.99', 'Paperback': '$25.00'}","['1', '1', '3', '14', '81']","['#784 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Zoology (Books)', '#2 in Natural History (Books)', '#2 in Animals (Audible Books & Originals)']"
13,https://m.media-amazon.com/images/I/910-EtZIYKL._AC_UY218_.jpg,"Surrender: 40 Songs, One Story",Bono and Random House Audio,4.6,"2,049",/Surrender-40-Songs-One-Story/dp/B09ZK1XJ4X/ref=sr_1_14?qid=1680261196&sr=8-14&srs=17296221011,Random House Audio,"November 1, 2022","{'Kindle': '$14.99', 'Audiobook': '$0.00', 'Hardcover': '$17.79', 'Paperback': '—', 'Audio': '—'}","['1', '2', '5', '15', '76']","['#302 in Audible Books & Originals (See Top 100 in Audible Books & Originals)', '#1 in Social Activist Biographies', '#1 in Biographies of Activists', '#2 in Composer & Musician Biographies']"
