,title,author,score,votes,ranking
0,The Help,Kathryn Stockett,4.47,"2,588,909",1
1,The Kite Runner,Khaled Hosseini,4.33,"2,938,995",2
2,Water for Elephants,Sara Gruen,4.10,"1,552,464",3
3,The Book Thief,Markus Zusak,4.39,"2,349,004",4
4,To Kill a Mockingbird,Harper Lee,4.27,"5,658,736",5
5,The Time Traveler's Wife,Audrey Niffenegger,3.99,"1,732,164",6
6,A Thousand Splendid Suns,Khaled Hosseini,4.42,"1,419,284",7
7,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,"7,910,181",8
8,The Glass Castle,Jeannette Walls,4.30,"1,112,358",9
9,The Secret Life of Bees,Sue Monk Kidd,4.08,"1,244,346",10
10,Memoirs of a Geisha,Arthur Golden,4.14,"1,923,985",11
11,My Sister's Keeper,Jodi Picoult,4.09,"1,172,489",12
12,The Lovely Bones,Alice Sebold,3.84,"2,261,477",13
13,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,"716,092",14
14,Pride and Prejudice,Jane Austen,4.28,"3,916,763",15
15,The Red Tent,Anita Diamant,4.19,"576,702",16
16,Life of Pi,Yann Martel,3.93,"1,545,974",17
17,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13,"1,879,142",18
18,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,406,315",19
19,The Poisonwood Bible,Barbara Kingsolver,4.09,"714,891",20
20,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,"3,019,283",21
21,1984,George Orwell,4.19,"4,168,919",22
22,Sarah's Key,Tatiana de Rosnay,4.17,"461,166",23
23,The Diary of a Young Girl,Anne Frank,4.18,"3,469,219",24
24,Room,Emma Donoghue,4.07,"781,109",25
25,"Eat, Pray, Love",Elizabeth Gilbert,3.61,"1,673,656",26
26,Snow Flower and the Secret Fan,Lisa See,4.08,"363,389",27
27,Jane Eyre,Charlotte Brontë,4.14,"1,965,196",28
28,Middlesex,Jeffrey Eugenides,4.03,"623,865",29
29,The Catcher in the Rye,J.D. Salinger,3.81,"3,299,398",30
30,The Great Gatsby,F. Scott Fitzgerald,3.93,"4,808,474",31
31,The Thirteenth Tale,Diane Setterfield,3.97,"303,866",32
32,The Memory Keeper's Daughter,Kim Edwards,3.69,"591,029",33
33,A Tree Grows in Brooklyn,Betty  Smith,4.29,"440,931",34
34,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.33,"728,529",35
35,Little Women,Louisa May Alcott,4.14,"2,073,578",36
36,The Joy Luck Club,Amy Tan,3.95,"652,356",37
37,Tuesdays with Morrie,Mitch Albom,4.16,"949,303",38
38,"The Giver (The Giver, #1)",Lois Lowry,4.13,"2,271,150",39
39,Fahrenheit 451,Ray Bradbury,3.97,"2,199,647",40
40,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.29,"585,749",41
41,Atonement,Ian McEwan,3.93,"496,142",42
42,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,"486,937",43
43,The Road,Cormac McCarthy,3.98,"836,502",44
44,Una Historia de Ayer,Sergio Cobo,4.60,"11,199",45
45,Cutting for Stone,Abraham   Verghese,4.30,"361,594",46
46,Bel Canto,Ann Patchett,3.93,"269,201",47
47,The Color Purple,Alice Walker,4.26,"630,415",48
48,Rebecca,Daphne du Maurier,4.24,"579,412",49
49,The Alchemist,Paulo Coelho,3.90,"2,771,003",50
50,I Know This Much Is True,Wally Lamb,4.20,"305,893",51
51,The Grapes of Wrath,John Steinbeck,really,"860,665",52
52,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,"341,443",53
53,Of Mice and Men,John Steinbeck,3.88,"2,382,817",54
54,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.85,"548,397",55
55,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.10,"691,906",56
56,Animal Farm,George Orwell,3.98,"3,549,287",57
57,Gone with the Wind,Margaret Mitchell,4.30,"1,176,011",58
58,The Shack,William Paul Young,3.81,"617,023",59
59,Never Let Me Go,Kazuo Ishiguro,3.84,"622,461",60
60,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,"1,297,049",61
61,White Oleander,Janet Fitch,3.98,"344,562",62
62,Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.03,"289,199",63
63,Girl with a Pearl Earring,Tracy Chevalier,3.92,"710,082",64
64,The Art of Racing in the Rain,Garth Stein,4.22,"498,619",65
65,Lord of the Flies,William Golding,3.69,"2,724,418",66
66,The V Girl: a Coming of Age Story,Mya Robarts,really,"15,281",67
67,"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,4.35,"127,067",68
68,A Prayer for Owen Meany,John Irving,4.24,"310,348",69
69,Lolita,Vladimir Nabokov,3.88,"789,941",70
70,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"410,372",71
71,East of Eden,John Steinbeck,4.40,"501,389",72
72,Still Alice,Lisa Genova,4.32,"329,492",73
73,"The Good Earth (House of Earth, #1)",Pearl S. Buck,really,"242,119",74
74,The Namesake,Jhumpa Lahiri,4.01,"259,942",75
75,Beloved,Toni Morrison,3.93,"402,077",76
76,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.73,"1,596,172",77
77,"Outlander (Outlander, #1)",Diana Gabaldon,4.25,"985,780",78
78,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54,"588,589",79
79,The Boy in the Striped Pajamas,John Boyne,4.15,"739,930",80
80,Little Bee,Chris Cleave,3.72,"237,310",81
81,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,449,033",82
82,The Five People You Meet in Heaven,Mitch Albom,3.98,"677,171",83
83,"The Host (The Host, #1)",Stephenie Meyer,3.85,"975,418",84
84,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,3.80,"256,920",85
85,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.37,"894,155",86
86,Midwives,Chris Bohjalian,3.99,"157,345",87
87,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.14,"606,754",88
88,Love in the Time of Cholera,Gabriel García Márquez,3.93,"478,082",89
89,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.90,"2,240,317",90
90,Loving Frank,Nancy Horan,3.76,"96,614",91
91,One Flew Over the Cuckoo's Nest,Ken Kesey,4.20,"702,696",92
92,We Need to Talk About Kevin,Lionel Shriver,4.08,"185,663",93
93,The Elephant Tree,R.D. Ronald,3.69,"26,634",94
94,Atlas Shrugged,Ayn Rand,3.69,"379,640",95
95,Peace Like a River,Leif Enger,really,"87,256",96
96,Year of Wonders,Geraldine Brooks,4.01,"154,731",97
97,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,really,"818,792",98
98,She's Come Undone,Wally Lamb,3.90,"337,882",99
99,The Zombie Room,R.D. Ronald,3.74,"27,838",100
